Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Kyrgyzstan,2570,7075,19003,39095,36566,18,5203547,61,110,163
Lao People's Democratic Republic,3660,12732,30963,34938,38155,12,566391,65,107,209
Latvia,7638,23590,75234,51148,69002,22,2301793,48,72,141
Lebanon,6630,37683,133799,7899,11323,36,401074,183,202,93
Lesotho,113,191,641,12628,15426,32,1980831,143,176,106
Liberia,115,351,2143,12078,12383,51,3441796,146,192,53
Libyan Arab Jamahiriya,5818,14417,43835,9358,14853,42,5918217,165,179,72
Liechtenstein,221,945,2861,122344,148107,7,34598,15,18,233
Lithuania,8194,24166,70532,80323,90101,16,3425077,29,51,181
Luxembourg,2483,12364,35085,92982,148603,11,456613,22,17,219
Macau,35,12631,58661,161288,190042,7,47309,4,6,233
Madagascar,393,809,2059,26976,27912,28,18642586,86,137,117
Malawi,196,348,778,8373,11607,49,13226091,180,201,57
Malaysia,35156,484258,1427967,42365,89954,20,25652985,57,52,148
Maldives,45,1298,2876,13613,16416,14,295297,140,170,195
Mali,495,1529,5030,5989,21816,47,1161109,205,149,61
Malta,701,11321,29794,23692,121707,13,402617,97,39,206
Marshall Islands,3,4,19,4951,5813,78,5672,213,226,36
Martinique,637,1416,3781,42089,69109,30,395896,58,71,111
Mauritania,270,1365,5481,6603,10934,112,2963105,201,204,23
Mauritius,1810,11989,34352,14815,36337,9,1241173,133,111,226
Mayotte,47,86,261,5051,18314,247,0,212,166,15
Mexico,142381,1865372,6780885,14132,32986,43,104266392,136,125,69
"Micronesia, Federated States of",104,266,1123,6983,12824,129,110058,193,188,21
Monaco,39,1347,3610,102574,127088,37,325,20,35,90
Mongolia,922,2725,5590,28588,42632,25,2580704,77,102,131
Montenegro,1832,10902,33299,9894,60749,15,607969,158,78,189
Montserrat,52,309,1336,25550,52907,7,5628,92,90,233
Morocco,14704,167698,701733,15361,25978,42,30494991,131,138,72
Mozambique,847,2269,7634,6713,7085,42,20532675,200,223,72
Namibia,1706,6132,21951,7702,11945,68,2019677,186,197,40
Nauru,4,8,15,22396,14672,105,10111,102,181,25
Nepal,13472,59666,204151,35475,37662,14,27093656,64,109,195
Netherlands,55072,353545,1290364,80511,128050,13,1632769,28,34,206
Netherlands Antilles,552,4666,14403,15852,56749,16,186392,129,84,181
New Caledonia,371,1151,3341,30624,56681,17,234185,72,85,176
New Zealand,20321,73925,246886,71024,125549,29,4097112,32,36,114
Nicaragua,2294,25445,96077,11337,28693,19,5462539,151,133,157
Niger,189,350,1534,5926,7932,103,1326419,206,218,26
Nigeria,2407,6536,26720,9434,11630,61,141356083,163,200,43
Niue,1,1,1,4,936,621,1632,238,238,9
Norfolk Island,29,54,97,1430,20513,756,0,234,154,5
Northern Mariana Islands,124,433,1218,18461,52768,14,80258,122,91,195
Norway,46138,123019,352605,119719,134719,15,4638836,16,27,189
Oman,11772,83474,283668,21023,55212,35,2507042,111,86,96
Pakistan,41692,434287,1733325,7325,8221,39,158080591,190,216,83
Palau,28,84,245,4403,12298,42,20127,220,193,72
Palestine,4887,39416,142366,17782,41368,20,3762005,125,103,148
Panama,5203,63481,218088,40437,110674,19,3231502,59,43,157
Papua New Guinea,143,295,779,10200,20829,261,6069715,157,151,14
Paraguay,7616,46379,152416,20388,46283,19,5904342,115,97,157
Peru,13135,135707,532869,27704,35067,42,27274266,83,116,72
Philippines,96155,1356374,5803270,45152,46154,32,84566163,54,98,106
Poland,83337,220883,707178,49519,112915,18,38195558,50,41,163
Portugal,40753,183690,578164,62747,134852,16,10528226,36,24,181
Puerto Rico,10901,82112,337551,26435,83749,40,3946779,88,58,79
Qatar,2110,35337,117561,80782,138294,8,796186,27,21,230
Republic of Moldova,4404,13978,38773,72402,77018,12,3876661,31,65,209
Reunion,905,2001,6389,164291,197726,9,785159,3,3,226
Romania,33684,115740,344422,113685,134818,12,21627557,17,25,209
Russia,237187,1222733,3580414,67185,65206,16,143953092,34,74,181
Rwanda,429,1382,3674,9352,18540,18,9233793,166,162,163
Saint Barthelemy,135,2107,7737,21540,38043,35,0,108,108,96
Saint Helena,5,5,7,6850,2896,686,6399,195,236,8
Saint Kitts and Nevis,214,900,3305,11821,34458,17,49138,147,117,176
Saint Lucia,502,2178,5745,24205,132238,58,16124,95,30,49
Saint Martin,73,415,1153,55767,85303,65,0,39,56,42
Saint Pierre and Miquelon,41,110,271,14723,76321,17,6346,134,67,176
Saint Vincent and the Grenadines,318,1264,3151,20443,122275,40,119137,114,38,79
Samoa,14,20,49,17156,19178,9,183845,126,160,226
San Marino,161,726,1743,19256,72923,19,30214,118,68,157
Sao Tome and Principe,64,146,541,10558,19259,67,152622,155,159,41
Saudi Arabia,35789,443189,1433607,27882,82599,39,2361236,82,60,83
Senegal,1034,5023,15737,6744,22098,51,1177034,198,148,53
Serbia,23761,98140,311016,18580,44086,17,9863026,121,101,176
Seychelles,186,877,1696,31240,30302,18,85532,70,129,163
Sierra Leone,121,296,1585,9196,16290,32,5586403,167,172,106
Singapore,1044,83853,317560,194192,221205,9,4327468,1,1,226
Slovakia,18335,59953,201334,31207,69657,21,5386995,71,70,145
Slovenia,9639,26786,82567,33788,82371,14,1999425,67,61,195
Solomon Islands,26,36,104,4729,11721,307,472419,214,199,12
Somalia,342,880,2586,8383,8297,55,8196395,179,214,51
South Africa,38545,255572,1135761,21916,29720,40,47938663,105,131,79
Spain,64817,339280,1104510,123663,142247,26,43397491,14,19,124
Sri Lanka,20920,50200,146105,8822,20745,27,19120763,171,152,120
Sudan,660,1617,6793,4726,5719,93,36899747,215,228,32
Suriname,907,3570,10354,4421,12072,35,452468,219,195,96
Svalbard,27,60,77,96469,102882,51,0,21,49,53
Swaziland,268,512,2461,8712,10889,90,1124529,173,205,33
Sweden,30270,57645,181894,108025,131291,14,9038049,19,32,195
Switzerland,24830,115454,343594,86882,164056,12,7424389,25,13,209
Syrian Arab Republic,10187,57786,255699,10595,9063,43,18893881,154,210,69
Taiwan,22582,455974,2078135,46968,103688,10,0,52,48,222
Tajikistan,528,1301,3689,23569,23757,24,6550213,99,145,134
Thailand,125719,720804,2308712,167256,193589,8,63002911,2,5,230
The former Yugoslav Republic of Macedonia,4105,23305,70582,13964,24294,23,2033655,138,143,137
Timor-Leste,50,142,432,9822,9769,47,1067285,160,207,61
Togo,1787,13639,73725,4644,18528,26,6238572,216,163,124
Tonga,33,39,143,34464,58197,107,99361,66,81,24
Trinidad and Tobago,2978,20158,58301,54803,78871,12,1323722,41,63,209
Tunisia,6944,45106,193733,2826,8889,45,10104685,225,211,64
Turkey,53274,392594,1225034,7497,29561,23,72969723,189,132,137
Turkmenistan,2440,6280,24835,1808,2949,61,4833266,233,235,43
Turks and Caicos Islands,89,293,651,22344,35639,57,24459,103,115,50
Uganda,720,2145,8577,12475,12081,39,28947181,144,194,83
Ukraine,86588,304576,963152,52150,51350,14,46917544,47,93,195
United Arab Emirates,10859,247868,724998,109862,184600,10,4104291,18,8,222
United Kingdom,257323,1754275,6776392,25867,83334,26,60244834,90,59,124
United Republic of Tanzania,883,1952,7399,9824,13800,75,38477873,159,182,39
United States,1582901,5707483,18660406,52538,171511,35,299846449,45,11,96
United States Virgin Islands,542,2160,7958,11706,51191,37,111408,149,94,90
Uruguay,2936,12628,40075,28705,120715,18,3325727,76,40,163
Uzbekistan,9702,27252,84928,37906,35919,24,26593123,62,113,134
Vanuatu,62,154,446,8796,13008,154,215366,172,185,19
Venezuela,13297,127996,686134,14064,16383,76,26725573,137,171,37
Viet Nam,111266,562013,1759902,58595,64843,8,85028643,38,75,230
Wallis and Futuna Islands,8,10,23,2145,5069,367,15079,229,229,11
Western Sahara,236,1529,6681,15578,23204,60,440428,130,146,48
Yemen,2359,8169,34323,1825,4711,99,21095679,232,230,27
Zambia,345,639,1887,8329,8723,88,11478317,182,212,34
Zimbabwe,1070,1752,6173,8372,10484,97,13119679,181,206,29
